DZ2021_code,DZ2021_name,X,Y
N20000001,Dunsilly_A1,316930,394729
N20000002,Dunsilly_B1,326179,395176
N20000003,Dunsilly_A2,306354,393894
N20000004,Dunsilly_A3,311476,394039
N20000005,Dunsilly_B2,321590,393387
N20000006,Dunsilly_A4,313051,392754
N20000007,Dunsilly_C1,300824,392832
N20000008,Dunsilly_A5,308643,391973
N20000009,Dunsilly_A6,304801,392098
N20000010,Dunsilly_B3,318959,391582
N20000011,Dunsilly_D1,308050,391136
N20000012,Dunsilly_D2,307834,391002
N20000013,Dunsilly_F1,313767,390717
N20000014,Dunsilly_D3,307695,390572
N20000015,Dunsilly_C2,299216,390321
N20000016,Dunsilly_E1,308490,390476
N20000017,Dunsilly_E2,308828,390396
N20000018,Dunsilly_E3,309183,390378
N20000019,Dunsilly_D4,308115,390441
N20000020,Dunsilly_D5,307764,390155
N20000021,Dunsilly_E4,309140,390108
N20000022,Dunsilly_C3,299578,390213
N20000023,Dunsilly_D6,307691,389823
N20000024,Dunsilly_C4,300692,389077
N20000025,Dunsilly_F2,313616,389011
N20000026,Dunsilly_B4,323184,389408
N20000027,Dunsilly_F3,313779,388978
N20000028,Dunsilly_F4,305240,389424
N20000029,Dunsilly_F5,311595,389406
N20000030,Dunsilly_B5,320934,387915
N20000031,Dunsilly_B6,322802,387826
N20000032,Dunsilly_F6,306622,386992
N20000033,Dunsilly_F7,300868,386981
N20000034,Dunsilly_F8,304488,386389
N20000035,Antrim_A1,314520,388700
N20000036,Antrim_A2,314899,389166
N20000037,Antrim_A3,314791,388844
N20000038,Antrim_B1,316654,387810
N20000039,Antrim_B2,315108,388407
N20000040,Antrim_A4,314706,388474
N20000041,Antrim_C1,314719,388200
N20000042,Antrim_B3,316172,388297
N20000043,Antrim_D1,315145,387989
N20000044,Antrim_C2,313998,387548
N20000045,Antrim_C3,314805,387654
N20000046,Antrim_D2,315881,387662
N20000047,Antrim_D3,315615,387671
N20000048,Antrim_C4,314445,387506
N20000049,Antrim_G1,314969,387344
N20000050,Antrim_E1,316098,387469
N20000051,Antrim_F1,317115,387191
N20000052,Antrim_F2,317641,386408
N20000053,Antrim_E2,316569,387193
N20000054,Antrim_D4,315759,387483
N20000055,Antrim_E3,315962,387148
N20000056,Antrim_E4,316315,387037
N20000057,Antrim_G2,315016,387033
N20000058,Antrim_H1,315805,386964
N20000059,Antrim_F3,316765,386897
N20000060,Antrim_J1,316285,386808
N20000061,Antrim_H2,315958,386825
N20000062,Antrim_H3,315652,386730
N20000063,Antrim_G3,314973,386425
N20000064,Antrim_J2,316587,386549
N20000065,Antrim_J3,316276,386438
N20000066,Antrim_K1,317019,386414
N20000067,Antrim_K2,316860,386317
N20000068,Antrim_G4,315285,386360
N20000069,Antrim_L1,315531,386194
