DZ2021_code,DZ2021_name,Urban_status,Urban_mixed_rural_status
N20000001,Dunsilly_A1,Non-urban,Rural
N20000002,Dunsilly_B1,Non-urban,Rural
N20000003,Dunsilly_A2,Non-urban,Rural
N20000004,Dunsilly_A3,Non-urban,Rural
N20000005,Dunsilly_B2,Non-urban,Rural
N20000006,Dunsilly_A4,Non-urban,Rural
N20000007,Dunsilly_C1,Non-urban,Rural
N20000008,Dunsilly_A5,Non-urban,Rural
N20000009,Dunsilly_A6,Non-urban,Rural
N20000010,Dunsilly_B3,Non-urban,Rural
N20000011,Dunsilly_D1,Urban,Urban
N20000012,Dunsilly_D2,Urban,Urban
N20000013,Dunsilly_F1,Non-urban,Rural
N20000014,Dunsilly_D3,Urban,Urban
N20000015,Dunsilly_C2,Non-urban,Rural
N20000016,Dunsilly_E1,Urban,Urban
N20000017,Dunsilly_E2,Urban,Urban
N20000018,Dunsilly_E3,Urban,Urban
N20000019,Dunsilly_D4,Urban,Urban
N20000020,Dunsilly_D5,Urban,Urban
N20000021,Dunsilly_E4,Urban,Urban
N20000022,Dunsilly_C3,Non-urban,Rural
N20000023,Dunsilly_D6,Urban,Urban
N20000024,Dunsilly_C4,Non-urban,Rural
N20000025,Dunsilly_F2,Urban,Urban
N20000026,Dunsilly_B4,Non-urban,Rural
N20000027,Dunsilly_F3,Urban,Urban
N20000028,Dunsilly_F4,Non-urban,Rural
N20000029,Dunsilly_F5,Non-urban,Rural
N20000030,Dunsilly_B5,Non-urban,Rural
N20000031,Dunsilly_B6,Non-urban,Rural
N20000032,Dunsilly_F6,Non-urban,Rural
N20000033,Dunsilly_F7,Non-urban,Rural
N20000034,Dunsilly_F8,Non-urban,Rural
N20000035,Antrim_A1,Urban,Urban
N20000036,Antrim_A2,Urban,Urban
N20000037,Antrim_A3,Urban,Urban
N20000038,Antrim_B1,Non-urban,Mixed
N20000039,Antrim_B2,Urban,Urban
N20000040,Antrim_A4,Urban,Urban
N20000041,Antrim_C1,Urban,Urban
N20000042,Antrim_B3,Urban,Urban
N20000043,Antrim_D1,Urban,Urban
N20000044,Antrim_C2,Urban,Urban
N20000045,Antrim_C3,Urban,Urban
N20000046,Antrim_D2,Urban,Urban
N20000047,Antrim_D3,Urban,Urban
N20000048,Antrim_C4,Urban,Urban
N20000049,Antrim_G1,Urban,Urban
N20000050,Antrim_E1,Urban,Urban
N20000051,Antrim_F1,Urban,Urban
N20000052,Antrim_F2,Urban,Urban
N20000053,Antrim_E2,Urban,Urban
N20000054,Antrim_D4,Urban,Urban
N20000055,Antrim_E3,Urban,Urban
N20000056,Antrim_E4,Urban,Urban
N20000057,Antrim_G2,Urban,Urban
N20000058,Antrim_H1,Urban,Urban
N20000059,Antrim_F3,Urban,Urban
N20000060,Antrim_J1,Urban,Urban
N20000061,Antrim_H2,Urban,Urban
N20000062,Antrim_H3,Urban,Urban
N20000063,Antrim_G3,Urban,Urban
N20000064,Antrim_J2,Urban,Urban
N20000065,Antrim_J3,Urban,Urban
N20000066,Antrim_K1,Urban,Urban
N20000067,Antrim_K2,Urban,Urban
N20000068,Antrim_G4,Urban,Urban
N20000069,Antrim_L1,Urban,Urban
N20000070,Antrim_J4,Urban,Urban
N20000071,Antrim_G5,Urban,Urban
N20000072,Antrim_L2,Urban,Urban
N20000073,Antrim_F4,Urban,Urban
N20000074,Antrim_K3,Urban,Urban
N20000075,Antrim_L3,Urban,Urban
N20000076,Antrim_N1,Urban,Urban
N20000077,Antrim_N2,Urban,Urban
N20000078,Antrim_F5,Urban,Urban
N20000079,Antrim_K4,Urban,Urban
N20000080,Antrim_J5,Urban,Urban
N20000081,Antrim_N3,Urban,Urban
N20000082,Antrim_K5,Urban,Urban
N20000083,Antrim_N4,Urban,Urban
N20000084,Antrim_N5,Non-urban,Mixed
N20000085,Antrim_L4,Urban,Urban
